year,tweets,users,tweets:user,original tweets:user,retweets:user,unedited retweets:user,edited retweets:user,genuine @replies:user,URLs:user,users:tweets,original tweets,genuine @replies,retweets,unedited retweets,edited retweets,URLs,% original tweets,% genuine @replies,% retweets,% unedited retweets,% edited retweets,% URLs,number of current users from least active 90% (< 3 tweets),% of current users from least active 90% (< 3 tweets),number of tweets from least active 90% (< 3 tweets),% of tweets from least active 90% (< 3 tweets),number of current users from > 90% group (> 2 tweets; 1047 of 8128 users),% of current users from > 90% group (> 2 tweets; 1047 of 8128 users),tweets from > 90% group (> 2 tweets; 1047 of 8128 users),% of tweets from > 90% group (> 2 tweets; 1047 of 8128 users),number of current users from > 99% group (> 13 tweets; 94 of 8128 users),% of current users from > 99% group (> 13 tweets; 94 of 8128 users),tweets from > 99% group (> 13 tweets; 94 of 8128 users),% of tweets from > 99% group (> 13 tweets; 94 of 8128 users)
2013,15679,8128,1.92901,0.422244,0.828002,0,0.828002,0.678765,0.698081,0.5184,3432,5517,6730,,6730,5674,0.218892,0.351872,0.429237,0,0.429237,0.361885,6987,0.859621,8021,0.511576,1047,0.128814,5179,0.330314,94,0.011565,2479,0.15811


percentile,tweets,tweets:total tweets,original tweets,original tweets:tweets,@replies,@replies:tweets,genuine @replies,genuine @replies:tweets,retweets,retweets:tweets,unedited retweets,unedited retweets:tweets,edited retweets,edited retweets:tweets,URLs,URLs:tweets
users > 0% (>= 0 tweets; 6988 of 8128 users),8021,0.511576,2052,0.255828,5969,0.744172,2232,0.27827,3737,0.465902,,0,3737,0.465902,3839,0.478619
users > 90% (>= 3 tweets; 1047 of 8128 users),5179,0.330314,1129,0.217996,4050,0.782004,1908,0.368411,2142,0.413593,,0,2142,0.413593,1437,0.277467
users > 99% (>= 14 tweets; 94 of 8128 users),2479,0.15811,251,0.101251,2228,0.898749,1377,0.555466,851,0.343284,,0,851,0.343284,398,0.160549
all 8128 users,15679,1,3432,0.218892,12247,0.781108,5517,0.351872,6730,0.429237,,0,6730,0.429237,5674,0.361885


user,percentile,tweets,original tweets,% original tweets,@replies,% @replies,genuine @replies,% genuine @replies,retweets,% retweets,unedited retweets,% unedited retweets,edited retweets,% edited retweets,URLs,% URLs,@replies received,@replies received:sent tweets,genuine @replies received,% genuine @replies received,genuine @replies received:sent tweets,retweets received,% retweets received,retweets received:sent tweets,unedited retweets received,% unedited retweets received,unedited retweets received:sent tweets,edited retweets received,% edited retweets received,edited retweets received:sent tweets
 AK esra AK,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 veli akyuz,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Handan,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 TC Tolga,> 0%,2,0,0,2,1,0,0,2,1,,0,2,1,,0,0,0,0,,0,,,0,,,0,0,,0
 FEYYAZ ERSÖZ,> 0%,2,0,0,2,1,2,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Mustafa Albayrak,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
omerrcelik,none,0,0,,,,0,,,,,,0,,,,1,,1,1,,0,0,,0,0,,0,0,
 Isaac Land,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
_LaciverD_,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
 Sude Çolakoğlu,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 TÜRK Yaşar Yüksel,> 90%,5,5,1,,0,0,0,,0,,0,0,0,5,1,0,0,0,,0,,,0,,,0,0,,0
 Abdulshahab Chaseki,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 fırat erdoğan,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 Ahmet Ak,> 0%,2,0,0,2,1,2,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 TARUN SONI,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
buyuyenturkiye,none,0,0,,,,0,,,,,,0,,,,3,,3,1,,0,0,,0,0,,0,0,
 Hilal Akduman,> 99%,15,0,0,15,1,0,0,15,1,,0,15,1,,0,0,0,0,,0,,,0,,,0,0,,0
 Anja,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 fatih selli,> 99%,15,0,0,15,1,11,0.733333,4,0.266667,,0,4,0.266667,,0,0,0,0,,0,,,0,,,0,0,,0
 rnk,> 90%,5,0,0,5,1,0,0,5,1,,0,5,1,,0,0,0,0,,0,,,0,,,0,0,,0
masala_chaas,none,0,0,,,,0,,,,,,0,,,,20,,0,0,,20,1,,0,0,,20,1,
Gercekedbyt,none,0,0,,,,0,,,,,,0,,,,2,,2,1,,0,0,,0,0,,0,0,
 selma topal,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 Jon Wilks,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 Antonio Jesús García,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
tugbaterzi2441,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
 AK PARTİLİYİM,> 90%,9,0,0,9,1,9,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Sade Kahve,> 90%,3,0,0,3,1,3,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Linda,> 90%,9,6,0.666667,3,0.333333,0,0,3,0.333333,,0,3,0.333333,2,0.222222,0,0,0,,0,,,0,,,0,0,,0
ZulfahmiGhazali,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
 cuzunali,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 Duygu Özsahin,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 ahmet celebi,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 RESISTENCIADUARTISTA,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Firat News Agency,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
historia4627,none,0,0,,,,0,,,,,,0,,,,2,,0,0,,2,1,,0,0,,2,1,
 GIDA MÜHENDİSİ,> 0%,2,0,0,2,1,0,0,2,1,,0,2,1,1,0.5,0,0,0,,0,,,0,,,0,0,,0
 cetin bayens,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Gokay Otyam,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 Ramiz Şengül,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 Ak Kadın Ordu ,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
taneryildizetkb,none,0,0,,,,0,,,,,,0,,,,2,,2,1,,0,0,,0,0,,0,0,
hrw,none,0,0,,,,0,,,,,,0,,,,4,,4,1,,0,0,,0,0,,0,0,
wagihadli,none,0,0,,,,0,,,,,,0,,,,17,,17,1,,0,0,,0,0,,0,0,
 yusuf kaygusuz,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Önce Vatan,> 90%,6,0,0,6,1,5,0.833333,1,0.166667,,0,1,0.166667,2,0.333333,0,0,0,,0,,,0,,,0,0,,0
gungorazimtuna,none,0,0,,,,0,,,,,,0,,,,1,,1,1,,0,0,,0,0,,0,0,
 feminist,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 M.G.DENİZ,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 Yitik Sevdalar,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 emin,> 0%,2,0,0,2,1,1,0.5,1,0.5,,0,1,0.5,1,0.5,0,0,0,,0,,,0,,,0,0,,0
 AK Gençlik B4TM4N,> 99%,33,0,0,33,1,33,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 BİBERİN GAZI,> 0%,2,1,0.5,1,0.5,1,0.5,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Muhammad Akram,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 İsa Kabar,> 90%,5,0,0,5,1,5,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Pino Pino,> 0%,2,0,0,2,1,0,0,2,1,,0,2,1,1,0.5,0,0,0,,0,,,0,,,0,0,,0
 bunu demedi deme,> 90%,7,0,0,7,1,0,0,7,1,,0,7,1,,0,0,0,0,,0,,,0,,,0,0,,0
 Azad Aybey,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 abdullah erdoğdu,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 #AtanamayanSosyalci#,> 90%,5,0,0,5,1,2,0.4,3,0.6,,0,3,0.6,,0,0,0,0,,0,,,0,,,0,0,,0
korkusuz888,none,0,0,,,,0,,,,,,0,,,,1,,1,1,,0,0,,0,0,,0,0,
 Balkanidades,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 Ãñggíê âÐhìäÑá ë╚ ƒ,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 melenegiorgo,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Sekale,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
ckrogluumran,none,0,0,,,,0,,,,,,0,,,,2,,2,1,,0,0,,0,0,,0,0,
 Ceren Demir,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 cumhurnadir,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 Eda Akkaya,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 ozan erdogan,> 90%,3,3,1,,0,0,0,,0,,0,0,0,3,1,0,0,0,,0,,,0,,,0,0,,0
 Krnrzy Türk,> 90%,13,0,0,13,1,2,0.153846,11,0.846154,,0,11,0.846154,,0,0,0,0,,0,,,0,,,0,0,,0
 cagdas,> 90%,4,0,0,4,1,4,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
seheerkaya,none,0,0,,,,0,,,,,,0,,,,2,,0,0,,2,1,,0,0,,2,1,
 Ahmetcoskun,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 Deniz Yılmaz,> 90%,3,0,0,3,1,3,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 TC çapulcu HAYRİ,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 Eleanoor,> 90%,3,0,0,3,1,3,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 kadir çavgın,> 0%,2,0,0,2,1,1,0.5,1,0.5,,0,1,0.5,,0,0,0,0,,0,,,0,,,0,0,,0
BruceKAnderson,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
 Caner Şişman,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
BT_Ogretmeni,none,0,0,,,,0,,,,,,0,,,,14,,0,0,,14,1,,0,0,,14,1,
 Emine Aydın,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
Gepettiye,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
RunKeeper,none,0,0,,,,0,,,,,,0,,,,2,,2,1,,0,0,,0,0,,0,0,
GEEKJOD,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
 Deliormanlı,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 Stanley Scism,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 murat karakuş,> 90%,10,0,0,10,1,0,0,10,1,,0,10,1,,0,0,0,0,,0,,,0,,,0,0,,0
Altan,none,0,0,,,,0,,,,,,0,,,,4,,0,0,,4,1,,0,0,,4,1,
 abdikadir salah,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
MuezzinogluDR,none,0,0,,,,0,,,,,,0,,,,22,,22,1,,0,0,,0,0,,0,0,
 ATMACA,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 ezus,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 pelinanlp,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 haber güvercini,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 Sarah Morrigan,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 Saidi Nabil,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
ahhhmjay,none,0,0,,,,0,,,,,,0,,,,2,,2,1,,0,0,,0,0,,0,0,
 Cingöz Recai ,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Günce Eseryel,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
Mevliduyan,none,0,0,,,,0,,,,,,0,,,,5,,0,0,,5,1,,0,0,,5,1,
 G4B4RTEY,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 Dž,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
AliFirat1978,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
 ☭☭☭AŞKveDEVRİM,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 CantosDeSirenas,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 abdullah a aljasser,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Dürüst Lee,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 Abdirahman O. Osman,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 ayşegül şahin,> 0%,2,0,0,2,1,2,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
MellByz,none,0,0,,,,0,,,,,,0,,,,4,,0,0,,4,1,,0,0,,4,1,
mustafa_bilici,none,0,0,,,,0,,,,,,0,,,,2,,1,0.5,,1,0.5,,0,0,,1,0.5,
NavalaMumin,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
 02-23-44-46 Haber,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 Hikariko ONO,> 0%,2,2,1,,0,0,0,,0,,0,0,0,2,1,0,0,0,,0,,,0,,,0,0,,0
 tsutom,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 sserkan topal,> 0%,2,0,0,2,1,2,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 M ALI ABDULLAH,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 Barnhill Wilhelm,> 0%,2,2,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
noutbasgan,none,0,0,,,,0,,,,,,0,,,,2,,0,0,,2,1,,0,0,,2,1,
nihatk1907,none,0,0,,,,0,,,,,,0,,,,1,,1,1,,0,0,,0,0,,0,0,
 Sam Hardy,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
AlMonitor,none,0,0,,,,0,,,,,,0,,,,56,,14,0.25,,42,0.75,,0,0,,42,0.75,
 Tolon Soysal,> 90%,5,4,0.8,1,0.2,1,0.2,,0,,0,0,0,5,1,0,0,0,,0,,,0,,,0,0,,0
 Burak Gunay,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
akofis,none,0,0,,,,0,,,,,,0,,,,69,,69,1,,0,0,,0,0,,0,0,
 A.Mümtaz Birpınar,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Teddy Bear,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 ros,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 Tülay Şavlı,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 Cem's ITD,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
GunaydinOrkun,none,0,0,,,,0,,,,,,0,,,,13,,12,0.923077,,1,0.0769231,,0,0,,1,0.0769231,
 anti tayyep,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Mirza Hulusic,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
Onderciftci,none,0,0,,,,0,,,,,,0,,,,5,,5,1,,0,0,,0,0,,0,0,
 Akgenç Derince,> 90%,6,0,0,6,1,6,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
akgencderince,none,0,0,,,,0,,,,,,0,,,,3,,0,0,,3,1,,0,0,,3,1,
GipsyDolphin1,none,0,0,,,,0,,,,,,0,,,,4,,0,0,,4,1,,0,0,,4,1,
 Gonca Erdoğan,> 90%,6,1,0.166667,5,0.833333,0,0,5,0.833333,,0,5,0.833333,3,0.5,0,0,0,,0,,,0,,,0,0,,0
 GMKA ,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
zeynerdim,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
thetimes,none,0,0,,,,0,,,,,,0,,,,2,,2,1,,0,0,,0,0,,0,0,
 jess,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 ALONE./LİMİT,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
delirmemekzor,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
busra__erdogan,none,0,0,,,,0,,,,,,0,,,,2,,2,1,,0,0,,0,0,,0,0,
 Mer Ak,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Levent Ozcan,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
euronews,none,0,0,,,,0,,,,,,0,,,,3,,3,1,,0,0,,0,0,,0,0,
 Sümeyye Kurukavak ,> 0%,2,0,0,2,1,2,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Sinem Tezyapar,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 Noriyuki SHIKATA,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 Han Salim,> 90%,12,0,0,12,1,0,0,12,1,,0,12,1,3,0.25,0,0,0,,0,,,0,,,0,0,,0
 misha vos,> 90%,5,0,0,5,1,4,0.8,1,0.2,,0,1,0.2,,0,0,0,0,,0,,,0,,,0,0,,0
 Metin Gülbahar,> 0%,2,0,0,2,1,1,0.5,1,0.5,,0,1,0.5,1,0.5,0,0,0,,0,,,0,,,0,0,,0
 mourot jean luc,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 wagih adli ابوغريب,> 90%,6,1,0.166667,5,0.833333,3,0.5,2,0.333333,,0,2,0.333333,,0,0,0,0,,0,,,0,,,0,0,,0
 Milletin Gündemi,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 S.YAVUZ,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Syed-Makki Shah,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 elif erdoğan,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Cemile Nursaçan,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Eda,> 0%,2,0,0,2,1,0,0,2,1,,0,2,1,1,0.5,0,0,0,,0,,,0,,,0,0,,0
myprettyash,none,0,0,,,,0,,,,,,0,,,,2,,1,0.5,,1,0.5,,0,0,,1,0.5,
 canyusuf,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 NMP Ltd,> 90%,3,0,0,3,1,3,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
TGBTurkiye,none,0,0,,,,0,,,,,,0,,,,1,,1,1,,0,0,,0,0,,0,0,
 Driver,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
sondakika_haber,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
 Unforgivable Youth,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 Fruko,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 Scary Demon Pig,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
cundubeyoglu,none,0,0,,,,0,,,,,,0,,,,2,,1,0.5,,1,0.5,,0,0,,1,0.5,
parantezinici,none,0,0,,,,0,,,,,,0,,,,2,,0,0,,2,1,,0,0,,2,1,
 Zana,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 3-5 Çapulcudan Biri,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
AzlafCoksalata,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
 Emrah Özen,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Wake Up Attack,> 90%,7,2,0.285714,5,0.714286,5,0.714286,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Trojka,> 0%,2,2,1,,0,0,0,,0,,0,0,0,2,1,0,0,0,,0,,,0,,,0,0,,0
 ██████ ,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
A_Davutoglu_eng,none,0,0,,,,0,,,,,,0,,,,2,,2,1,,0,0,,0,0,,0,0,
 #MucaKucakYatak,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 4Kp4rtiyeK4R4sevd4Lı,> 0%,2,0,0,2,1,2,1,,0,,0,0,0,2,1,0,0,0,,0,,,0,,,0,0,,0
 Handan ★ ☮ ,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Dominique Vanpée,> 0%,2,0,0,2,1,0,0,2,1,,0,2,1,2,1,0,0,0,,0,,,0,,,0,0,,0
Biji_Kurdistan,none,0,0,,,,0,,,,,,0,,,,1,,0,0,,1,1,,0,0,,1,1,
davidvergili,none,0,0,,,,0,,,,,,0,,,,1,,1,1,,0,0,,0,0,,0,0,
 mavimurat,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 FenerbahceBoy,> 0%,2,0,0,2,1,2,1,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Bekir.,> 0%,1,0,0,1,1,1,1,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 Mustafa Demirci  #AK,> 0%,2,0,0,2,1,0,0,2,1,,0,2,1,,0,0,0,0,,0,,,0,,,0,0,,0
 vedat ÖZSÖYLEYEN,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,,0,0,0,0,,0,,,0,,,0,0,,0
 Tandra Goerlich,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Slobodan Šorak,> 0%,2,2,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Cynical Islamist,> 90%,6,0,0,6,1,5,0.833333,1,0.166667,,0,1,0.166667,,0,0,0,0,,0,,,0,,,0,0,,0
 Niall Finn,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Gülşen Ç,> 0%,1,1,1,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,,0,,,0,0,,0
 Suzan Dilek,> 90%,3,0,0,3,1,3,1,,0,,0,0,0,2,0.666667,0,0,0,,0,,,0,,,0,0,,0
 RTE&AKP&AhmetTurktas,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
 Ali Efe Yazgan,> 0%,1,1,1,,0,0,0,,0,,0,0,0,1,1,0,0,0,,0,,,0,,,0,0,,0
 Son Havadis,> 0%,2,2,1,,0,0,0,,0,,0,0,0,2,1,0,0,0,,0,,,0,,,0,0,,0
1071vadi,none,0,0,,,,0,,,,,,0,,,,2,,0,0,,2,1,,0,0,,2,1,
 Ken4n,> 0%,1,0,0,1,1,0,0,1,1,,0,1,1,1,1,0,0,0,,0,,,0,,,0,0,,0
