  time, id, text, source, truncated, possibly_sensitive, scopes, in_reply_to_status_id, in_reply_to_user_id, in_reply_to_screen_name, favorited, retweeted, current_user_retweet, retweet_count, user_id, user_name, user_screen_name, user_location, user_description, user_url, user_protected, user_followers_count, user_friends_count, user_listed_count, user_created_at, user_time, user_favourites_count, user_utc_offset, user_time_zone, user_geo_enabled, user_verified, user_statuses_count, user_lang, user_contributors_enabled, user_is_translator, user_profile_image_url, user_profile_image_url_https, user_default_profile, user_default_profile_image, user_following, user_follow_request_sent, user_notifications, entities_hashtags, entities_urls, entities_user_mentions, contributors_id, contributors_screen_name, coordinates_type, coordinates_lng, coordinates_lat, has_father
1384879614, 402840417911463936, RT @JONBOOGIEE: Puerto Rico I Love You!!!! That was a dope a$$ show!!! @justinbieber you think Dominican Republic ready for us?!?!?, <a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>, 0, 0, NULL, -1, -1, NULL, 0, 0, NULL, 1087, 1387955616, , rxcklessjustin, NULL, jdb • mrc, NULL, 0, 1509, 524, 52, Sun Apr 28 21:31:02 +0000 2013, 1367184662, 7536, -14400, Atlantic Time (Canada), 0, 0, 16927, en, 0, false, http://pbs.twimg.com/profile_images/378800000723684681/fb3e7d1f42c02deae4dbd2e00cb82a02_normal.jpeg, https://pbs.twimg.com/profile_images/378800000723684681/fb3e7d1f42c02deae4dbd2e00cb82a02_normal.jpeg, 0, 0, 0, 0, 0, "NULL", "NULL", [{"screen_name":"JONBOOGIEE";"name":"IG: JONBOOGIEE";"id":53012043;"id_str":"53012043";"indices":[3;14]};{"screen_name":"justinbieber";"name":"Justin Bieber";"id":27260086;"id_str":"27260086";"indices":[71;84]}], NULL, NULL, NULL, 0, 0, 0
1384879614, 402840417722302464, "@justinbieber: that new 1d song diana is well written well done boyzzzzzz", <a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>, 0, 0, NULL, -1, -1, NULL, 0, 0, NULL, 0, 459983504, HARRRRRRRRRRRRRY!, iNelyHarry, NULL, They don't know about us.  Something to ask? Here - http://t.co/cQdRRJ6laY, http://t.co/8zT7heoVxT, 0, 2791, 2647, 2, Tue Jan 10 08:01:57 +0000 2012, 1326182517, 321, 28800, Beijing, 1, 0, 43531, en, 0, false, http://pbs.twimg.com/profile_images/378800000687771559/b45f2ddb133076fa7b588ae4fe6ab114_normal.jpeg, https://pbs.twimg.com/profile_images/378800000687771559/b45f2ddb133076fa7b588ae4fe6ab114_normal.jpeg, 0, 0, 0, 0, 0, "NULL", "NULL", [{"screen_name":"justinbieber";"name":"Justin Bieber";"id":27260086;"id_str":"27260086";"indices":[1;14]}], NULL, NULL, NULL, 0, 0, 0
1384879613, 402840413347655680, @justinbieber I'm a belieber, web, 0, 0, NULL, -1, 27260086, justinbieber, 0, 0, NULL, 0, 1637123430, luisa fernanda, 0116Luisa, NULL, belieber follow me 3 sexy bread, NULL, 0, 25, 88, 0, Thu Aug 01 04:54:30 +0000 2013, 1375332870, 1, 0, NULL, 0, 0, 3, es, 0, false, http://pbs.twimg.com/profile_images/378800000762009194/cf85a646a354fb18959bbace447f7c09_normal.jpeg, https://pbs.twimg.com/profile_images/378800000762009194/cf85a646a354fb18959bbace447f7c09_normal.jpeg, 1, 0, 0, 0, 0, "NULL", "NULL", [{"screen_name":"justinbieber";"name":"Justin Bieber";"id":27260086;"id_str":"27260086";"indices":[0;13]}], NULL, NULL, NULL, 0, 0, 0
1384879613, 402840412983140352, RT @MTVNews: The #BelieveMovie is only five weeks away! We talked to Jon Chu about what fans will learn about @JustinBieber: http://t.co/eQ…, <a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>, 0, 0, NULL, -1, -1, NULL, 0, 0, NULL, 16136, 593814050, Sara Swag Belieber, SWAGgama236Sara, NULL, #BelieveTour!!!!. I am Belieber to death. I LOVE YOU JUSTIN BIEBER. Follow me @justinbieber. #WolfBlood.   http://t.co/NY4XUpBUeD.   #Heartbreaker, NULL, 0, 811, 2003, 1, Tue May 29 15:50:53 +0000 2012, 1338306653, 2116, 3600, Madrid, 1, 0, 8856, es, 0, false, http://pbs.twimg.com/profile_images/378800000739444951/ec6684c8529d58df38b12b72b0f903ea_normal.jpeg, https://pbs.twimg.com/profile_images/378800000739444951/ec6684c8529d58df38b12b72b0f903ea_normal.jpeg, 0, 0, 0, 0, 0, [{"text":"BelieveMovie";"indices":[17;30]}], "NULL", [{"screen_name":"MTVNews";"name":"MTV News";"id":40076725;"id_str":"40076725";"indices":[3;11]};{"screen_name":"justinbieber";"name":"Justin Bieber";"id":27260086;"id_str":"27260086";"indices":[110;123]}], NULL, NULL, NULL, 0, 0, 0
1384879613, 402840412517187584, RT @dankanter: @AlfredoFlores @justinbieber you mean like that time we performed for 350;000 Beliebers!?? #mexicocity, <a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>, 0, 0, NULL, -1, -1, NULL, 0, 0, NULL, 18306, 863899056, Karuo, LeslieAbiBaez, NULL, ♡ Perdidad en los libros ♡Belieber;Smiler ♡http://t.co/EAMcvzG4Di, http://t.co/fRrPdLE2Ig, 0, 2421, 2451, 0, Sat Oct 06 00:49:00 +0000 2012, 1349484540, 490, -18000, Eastern Time (US & Canada), 1, 0, 21862, es, 0, false, http://pbs.twimg.com/profile_images/378800000733311660/5362751bc2fab97397d8a5b326329615_normal.png, https://pbs.twimg.com/profile_images/378800000733311660/5362751bc2fab97397d8a5b326329615_normal.png, 0, 0, 0, 0, 0, [{"text":"mexicocity";"indices":[106;117]}], "NULL", [{"screen_name":"dankanter";"name":"Dan Kanter";"id":21622407;"id_str":"21622407";"indices":[3;13]};{"screen_name":"AlfredoFlores";"name":"Alfredo Flores";"id":19743731;"id_str":"19743731";"indices":[15;29]};{"screen_name":"justinbieber";"name":"Justin Bieber";"id":27260086;"id_str":"27260086";"indices":[30;43]}], NULL, NULL, NULL, 0, 0, 0
1384879613, 402840412160655360, #PYD by @justinbieber feat. @rkelly on iTunes NOW! Buy It: https://t.co/17sQnvB0oC, web, 0, 0, NULL, -1, -1, NULL, 0, 0, NULL, 0, 264885867, Mac, jbcallsg, NULL, Support Gomez and Bieber — Mendler's so talented., http://t.co/paQCVOvTUA, 0, 584, 734, 0, Sat Mar 12 16:29:27 +0000 2011, 1299947367, 158, -7200, Brasilia, 1, 0, 8847, en-gb, 0, false, http://pbs.twimg.com/profile_images/378800000762061672/048ae82cfa24222dba9d93877cf4d7d0_normal.png, https://pbs.twimg.com/profile_images/378800000762061672/048ae82cfa24222dba9d93877cf4d7d0_normal.png, 0, 0, 0, 0, 0, [{"text":"PYD";"indices":[0;4]}], [{"url":"https: / /t.co /17sQnvB0oC";"expanded_url":"https: / /itunes.apple.com /us /album /pyd-feat.-r.-kelly /id749103108?i=749103127&ign-mpt=uo%3D2";"display_url":"itunes.apple.com /us /album /pyd-f u2026";"indices":[59;82]}], [{"screen_name":"justinbieber";"name":"Justin Bieber";"id":27260086;"id_str":"27260086";"indices":[8;21]};{"screen_name":"rkelly";"name":"R. Kelly";"id":47186755;"id_str":"47186755";"indices":[28;35]}], NULL, NULL, NULL, 0, 0, 0
1384879613, 402840411401908224, @justinbieber This Video is for you Justin we love you ♥ @1997MariaBieber https://t.co/yoCTp1FjmT #BeliebersTogetherForJustin ♥ #OneTime 26, <a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>, 0, 0, NULL, -1, 27260086, justinbieber, 0, 0, NULL, 0, 122953285, Georgina Belieber♥, Georgina_Biebs_, NULL, Born to be a Belieber♥ @justinbieber ily♥ I'm 19 and i'm a true Belieber ♥ #musicmondays #Believe in your Dreams♥ #BadDay♥#AllBad♥@LilTwist follows 22.07 2013♥, http://t.co/CbjGfzEOAE, 0, 1580, 1800, 8, Sun Mar 14 13:22:02 +0000 2010, 1268572922, 7064, -10800, Greenland, 0, 0, 19989, de, 0, false, http://pbs.twimg.com/profile_images/378800000746895648/944b3f3f5f0f4d102172875042125251_normal.jpeg, https://pbs.twimg.com/profile_images/378800000746895648/944b3f3f5f0f4d102172875042125251_normal.jpeg, 0, 0, 0, 0, 0, [{"text":"BeliebersTogetherForJustin";"indices":[98;125]};{"text":"OneTime";"indices":[128;136]}], [{"url":"https: / /t.co /yoCTp1FjmT";"expanded_url":"https: / /www.youtube.com /watch?v=SIffRsbvYYs&feature=youtube_gdata_player";"display_url":"youtube.com /watch?v=SIffRs u2026";"indices":[74;97]}], [{"screen_name":"justinbieber";"name":"Justin Bieber";"id":27260086;"id_str":"27260086";"indices":[0;13]};{"screen_name":"1997MariaBieber";"name":"Maria-Magdalena ";"id":265011639;"id_str":"265011639";"indices":[57;73]}], NULL, NULL, NULL, 0, 0, 0
1384879613, 402840411443458048, RT @JessiBieber30: @justinbieber FOLLOW ME!!!! http://t.co/4pW6hLR2U8, <a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>, 0, 0, NULL, -1, -1, NULL, 0, 0, NULL, 44, 838497606, Naomi Bello♥, DirectionerNaoo, NULL, Niall/5 ♥ 09.06.13  Let it hurt; someday it will be just one more memory, http://t.co/diKYpmUQnL, 0, 3095, 2686, 1, Fri Sep 21 20:19:27 +0000 2012, 1348258767, 539, -18000, Eastern Time (US & Canada), 0, 0, 3739, es, 0, false, http://pbs.twimg.com/profile_images/378800000757843641/e005988894f58a0b586d77546894cc7b_normal.jpeg, https://pbs.twimg.com/profile_images/378800000757843641/e005988894f58a0b586d77546894cc7b_normal.jpeg, 0, 0, 0, 0, 0, "NULL", "NULL", [{"screen_name":"JessiBieber30";"name":"JessyYL";"id":337411410;"id_str":"337411410";"indices":[3;17]};{"screen_name":"justinbieber";"name":"Justin Bieber";"id":27260086;"id_str":"27260086";"indices":[19;32]}], NULL, NULL, NULL, 0, 0, 0
1384879613, 402840410508120064, What did you think of #JustinBieber #PYD?! Listen to it again and leave us your comment! here: http://t.co/GdvbpG69aS http://t.co/bdFKlpFmlw, web, 0, 1, NULL, -1, -1, NULL, 0, 0, NULL, 0, 1569124656, Justin Bieber News, NewsJustins, NULL, The latest Justin Bieber news; photos; videos; and more! #AllBad is out NOW! #MusicMondays #FilmFridays http://t.co/kp556IzYNv, http://t.co/sq6Q7dWZHZ, 0, 2530, 2539, 1, Thu Jul 04 21:51:45 +0000 2013, 1372974705, 17, -10800, Buenos Aires, 0, 0, 1995, es, 0, false, http://pbs.twimg.com/profile_images/378800000750209130/7fd7b85fd63b92354e747f14dc4b2303_normal.png, https://pbs.twimg.com/profile_images/378800000750209130/7fd7b85fd63b92354e747f14dc4b2303_normal.png, 0, 0, 0, 0, 0, [{"text":"JustinBieber";"indices":[22;35]};{"text":"PYD";"indices":[36;40]}], [{"url":"http: / /t.co /GdvbpG69aS";"expanded_url":"http: / /bit.ly /1bUXteP";"display_url":"bit.ly /1bUXteP";"indices":[95;117]}], "NULL", NULL, NULL, NULL, 0, 0, 0
1384879613, 402840412416520192, @justinbieber Love you so much !!! Please notice me x102, web, 0, 0, NULL, -1, 27260086, justinbieber, 0, 0, NULL, 0, 571668095, Alone., SilviapBelieber, NULL, Hi i'm Silvia and I'm a belieber ; i love JB... Follow me and i follow you ....  #PROMISE, NULL, 0, 640, 1998, 0, Sat May 05 11:27:56 +0000 2012, 1336217276, 95, 3600, Rome, 0, 0, 1816, it, 0, false, http://pbs.twimg.com/profile_images/378800000693538655/d6ce0984d157dc1fbb36bb4e7834b072_normal.jpeg, https://pbs.twimg.com/profile_images/378800000693538655/d6ce0984d157dc1fbb36bb4e7834b072_normal.jpeg, 0, 0, 0, 0, 0, "NULL", "NULL", [{"screen_name":"justinbieber";"name":"Justin Bieber";"id":27260086;"id_str":"27260086";"indices":[0;13]}], NULL, NULL, NULL, 0, 0, 0
